Name,Link,Founding Year,"Type of Venture (charity, project, academic, for-profit)",Region,Country (of Origin),Countries of Operations,UNCRPD Level,City,Lead Actory: background of founders,Funder,"Type of Innovation (4Ps): Process, Product, Paradigm, Position","Impairment category (mobility, visual, hearing, cognitive)",Wicked Problem,Radically different Interaction: whats the interaction and how it overcome challenges,Cocreation aspect,Value and usefulness to the user,Open or scalable aspect: need to explain,"Startup Stage (Existence, Survival, Disengagement, Success, Growth, Take-off, Maturity)",References
Capti Higher Ed,https://www.captivoice.com/capti-site/public/entry/highered,2010,for-profit,Americas,United States of America,Worldwide,Signatured,"Buffalo, NY",Computer science professors and Ph.D. students,"ESSER Funding (CARES Act),GEER funding (CARES Act),IDEA (Individuals with Disabilities Act),Private Funding(Literary Access Fund,Eastman Foundation Education Grant),State Specific Funding",product(software),visual,COLLEGES & INDEPENDENT USE may restrict other possible application scenario. It can expand for more people to use. Not taking into account the needs of individual users for the education edition.,CAPTI not only offers solutions for my low vision students but also for many of my students that are represented with multiple disabilities. The ease of navigating throughout the site has allowed the individual student to personalize their specific needs and therefore creating more independence.,"In partnership with Clever, Canvas, schoolOGY, Google for education, Blackboard.","Enjoy fully accessible reading and writing:Read or listen, type or dictate, personalize your reading experience to fit you need or circumstance;Control Capti with the mouse, touch, keyboard shortcuts, or off-the-shelf eye trackers;Use Capti with JAWS, NVDA, or VoiceOver screen-readers to enhance blind and low-vision reading","Open and scalable: Students can look up English definitions and translations (100+ languages) of words without leaving the web page.
Make any documents accessible (Pdf, Word, Epub, images), from your computer, Google Drive, OneDrive, Bookshare, etc.",Success:  It is a team of 20 focused on research and development of Capti and the company has launched 4 different products.,"https://www.ventureradar.com/organisation/Charmtech%20Labs%20LLC/629f0969-6dfc-4845-a8b6-c1f792003584
https://www.captivoice.com/capti-site/public/entry/how_to_pay_for_capti",,,,,,,,,,,,,,,
Kneerover,https://kneerover.com/,2013,for-profit,Americas,United States of America,United States of America,Signatured,"Augusta, GA",A CEO of the startup,Rover Mobility,product,mobility,"The safety of use in public places on public transport still needs to be improved, considering the size of the walker and the ease of operation in real use scenarios. And after braking, prevent secondary damage due to inertia","One of the first recommendations a doctor will make after a leg or foot injury is, keep it elevated. The KneeRover� provides a comfortable padded seat where you can securely rest your knee. This will prevent it from bearing weight, and protect it from accidental bumps and scrapes. Propelled on 3 or 4 wheels, you can cover large distances over a relatively short period of time.",New product innovations are developed based on excellent feedback/suggestions from customer base.,"As mentioned, one of the first recommendations a doctor will make after a leg or foot injury is, keep it elevated. The KneeRover� provides a comfortable padded seat where you can securely rest your knee. This will prevent it from bearing weight, and protect it from accidental bumps and scrapes. Propelled on 3 or 4 wheels, you can cover large distances over a relatively short period of time.","Open and scalable: the KneeRover� brand offers 46 unique, durable and proven mobility solutions of varying colors, styles and sizes � the most extensive offering in the industry! This comprehensive range of mobility solutions is designed to meet the needs of a wide range of customers of varying sizes, ages and needs.",Matruity: The company has been founded for years and has many selling products.,"https://kneerover.com/pages/about-us
https://www.dnb.com/business-directory/company-profiles.rover_mobility_llc.6eeb27dd46f90dda7d1da3835e04b959.html
https://www.facebook.com/KneeRoverUSA/?ref=nf&hc_ref=ARSv9RmeL4FNBMz1XFd6jrdnQs81vz5ZkovyEbHXcrbib8moErmzaTmYZiD59vPbsxw&__xts__[0]=68.ARCnDw9Rr4rnv1_NIH0nIgKi30DYNcgW19syiGcx2jluVX2STlKApv6vq2NarXEbUgnNfR7m0FH-I_Ok5vbFuFTzxn7pp5sjJZWv1V7joc0KeJLgK-CuKz8iI5Wutzo0e8H86KsWqmTXwyzAZrEc5dHNx-qPsp_h4KtGUBkZP7Pu52Q9AjQtSJyEsivuPX1wcUbLNFWxINV_aRZFaKeiNs4QaqqYhlrCdTSJ_gszfxhKY0d0mu84uvO6REO3g-ClkJXYqvZzxwGrlYraaV_oFT7JYTqr-7ejR5nGAFSBaw6rYku-FLs",,,,,,,,,,,,,,,
Lightweight Rollator,https://www.pcpmedical.com/products/lightweight-rollator-pcp,1950,for-profit,Americas,United States of America,USA&Canada,Signatured,"Ripley, Ohio",A CEO of the startup,SAI,Product,"Mobility (such debilitating illnesses as stroke, to move about in an upright position)",Turning in public places should be considered,The PCP 5305 Lightweight Rollator is perfect for a long walk or if you don't want to be slowed down by your mobility equipment. A rollator is easier to use than a walker because it is simply pushed along rather than having to be lifted. A rollator is good for use outdoors where surfaces may be uneven. It is also very suitable for indoor use,"In partnership with Championsupports, Touchcompression","The invention allows a user to engage in rehabilitative and therapeutic exercises, while performing the activities of normal living. The speed at which the device moves is user controlled and thereby compatible with any framed walker or other device in use today.    Usefulness:Will the use of this product require a power supply may cause any inconvenience to the user?",Open and scalable: Everyone can purchase on the website. ,Matruity: The company has been founded for years and has many selling products.,"https://www.zoominfo.com/c/pcpmedical/371532474
https://saibrands.com/pages/pcp-history-custom-page",,,,,,,,,,,,,,,
Milo from RoboKind,https://www.robokind.com/,2011,for-profit,Americas,United States of America,USA,Signatured,"Dallas,�Texas","Richard Margolin
Founder & CEO","National Science Foundation, Trinity Private Equity Group",Product,cognitive (autism?,"The price of the product is approximately 6,500 dollars each, which is not suitable for family payment and limited for schools and foundations.","Robot learning, recognition, communication output technology, communication with autistic children and therapeutic intervention, minimal verbal interaction.","Over 400 districts work with RoboKind's CASE-endorsed program which includes facially-expressive robots and SEL curriculum based on a multidisciplinary developmental behavioral approach,\
Using a multidisciplinary, developmental-behavioral approach, RoboKind leverages speech-language pathology, occupational therapy, applied behavioral analysis (ABA) principles and was developed with the assistance of subject-matter experts, professionals, and educators.","The robot is generally perceived as a friendly, non-threatening entity, helping children overcome the fears or discomfort they often exhibit when attempting to interact with human therapists. The same lessons and concepts can readily be repeated and reinforced (Milo doesn't become fatigued). The systematizing of emotions: Milo has the same expression on his face every time he displays a given emotion, making it easier for kids to learn to associate the visual experience to the emotion. Milo isn't judgmental and doesn't display conflicting emotions or frustrations that can be confusing to children with autism. The ability to flash visual symbols on the display on its chest,� builds on the visual strengths of children with ASD and aides their� understanding of difficult concepts. Milo speaks more slowly than most people, which aids in comprehension.
RoboKind is an education technology company that builds next generation assistive robots and social-emotional curriculum for autistic students.","Open and scalable: Over 400 districts work with RoboKind's CASE-endorsed program which includes facially-expressive robots and SEL curriculum based on a multidisciplinary developmental behavioral approach, leveraging speech language pathology, occupational therapy, applied behavioral analysis (ABA) principles, and developed with the assistance of subject -matter experts, professionals, and educators."," Survival: During a 3 year period, over 600 students across 15 districts completed more than 30,000 lessons facilitated by 75 educators. The results from the first 2 years are inspiring. ","https://oxfordre.com/education/view/10.1093/acrefore/9780190264093.001.0001/acrefore-9780190264093-e-155
https://www.autism-society.org/wp-content/uploads/2016/10/Robokind-Efficacy.pdf
https://www.youtube.com/watch?v=JwCobDb3K98&t=31s
https://www.crunchbase.com/organization/robokind
",,,,,,,,,,,,,,,
Medline Wheelchair,https://athome.medline.com/en/categories/mobility/wheelchairs-transport-chairs,1966,for-profit,Americas,United States of America,USA,Signatured,"Northfield, Illinois","Charles Wright Mills
CEO
","Blackstone, Carlyle and Hellman & Friedman(Joint acquisition)",Product(website),Mobility,"There are many types and manufacturers of wheelchairs, so there are some problems such as difficult selection and complicated functions when choosing wheelchairs","The online medical shopping platform can select wheelchairs according to their income conditions, and provide replacement and maintenance of accessories.",Work with healthcare providers,"Supply costs are one of the biggest expenses for health care providers. Integration into a single supplier is a proven way to reduce costs. As the largest, financially independent healthcare company in the United States, and having the manufacturing and distribution capabilities to drive savings across the organization. Immediate savings are achieved through manufacturer direct pricing, reducing distribution expenses and maximizing rebates.",Open and scalable:Has a planty of International branches,"Growth:  No.1 Market leader, one-day ship to 95% U.S., 34000+ employees worldwide, 20.2 billion dollars scales, 20X faster growth than other companies.","https://www.medline.com/search/products/wheelchair
https://www.crunchbase.com/organization/medline-industries
https://www.medline.com/about-us/international/
https://www.medline.com/about-us/fast-facts/",,,,,,,,,,,,,,,
HeadMouse��Nano,https://www.orin.com/access/headmouse/,1990,for-profit,Americas,United States of America,"USA, Mexico",Signatured,"Grand Prairie, Texas ","Mel Dashner
Vice President","Aroga
Infogrip Inc
Secrest Resources Ltd
RJ Cooper & Associates Inc
SafeSmart",Product,Mobility,"A mouse alone can cost more than a thousand dollars, and many families cannot afford this expensive mouse cost","The HeadMouse translates natural movements of a user's head into directly proportional mouse pointer movement � move your head and the mouse pointer follows along. The HeadMouse has a wireless optical sensor which tracks a tiny disposable target worn by the user on his/her forehead, glasses, or even a hat. It works just like a computer mouse, with the mouse pointer being controlled by head movement.
The HeadMouse will track head movement with the user comfortably located anywhere in front of his/her computer display. With HeadMouse Nano's high tracking resolution, pixel precise control is available to everyone. This precision allows a user to perform such tasks as drawing, photo editing, graphic illustration, and Computer Aided Design (CAD).

HeadMouse Nano connects to the computer, tablet, smartphone or speech generating device through a USB port and operates using standard mouse drivers. No special software is required. 

Tracking head movements into control signals",Origin Instruments Corporation invites users to explore solutions together,It can help people with limb disability operate computers and other electronic devices. Make them equal in employment and life,"Open or scalable:  Works on iPad and iPhone, Windows, MacOS, Android, Chrome, Linux � if it works with a USB mouse it works with HeadMouse.
Works in any lighting environment � from complete darkness to full sun.
Works on every platform � computers, tablets, smartphones and speech generating devices
No power adapter � HeadMouse receives power through the USB connection
Simple and hassle-free installation consists of plugging HeadMouse into a USB port
However,it requires version 13 or newer of iPadOS or iOS",Growth: The product is available on various websites such as tobiidynavox and livingmadeeasy,"https://www.atlantis-press.com/article/25847785.pdf
https://www.orin.com/company/
https://www.liberator.co.uk/headmouse-nano
https://uk.tobiidynavox.com/products/origin-headmouse-nano#
https://livingmadeeasy.org.uk/product/headmouse-nano-head-controlled-mouse
https://www.datanyze.com/companies/origin-instruments/85723121",,,,,,,,,,,,,,,
Icommunicator,"https://deaftechcompendium.wordpress.com/2014/12/09/icommunicator/
",2005/ company:1992,for-profit,Americas,United States of America,"USA, Canada",Signatured," Sarasota, Florida","Michael F. Dorety
vice president of business development",Teltronics company,Product(Software),Hearing,"iCommunicator includes phone support, free software updates and dictionary upgrades for one year after date of purchaseand 
it REQUIRES Dragon NaturallySpeaking software and a microphone (Sold Separately) 
It not intended as a replacement for sign-language interpreters, but as an alternative when an interpreter is not available
Thus, if a user wants to use this product, he or she needs to buy additional microphone to use it, which is troublesome","The iCommuncator program is downloaded and installed to run on a personal computer. Step by step installation instructions are provided. Once installed on a student�s laptop, he or she can then bring the computer into the classroom. The instructor wears a lightspeed wireless microphone that syncs to the iCommuncator program so that any spoken word is instantly translated into text and video sign language. ","iCommunicator is used in K-12 education,post - secondary insitutions, government and public - assess sites throughout the U.S. and Canada.""","The iCommunicator solution provides users with the first software that enables fluent two-way communication between people who are hard of hearing or deaf and the hearing population
 Increase spoken language comprehension, improve reading and language skills, and increase independence and self-confidence with iCommunicator.
This program can be used for more than just classrooms. Hospitals, courtrooms, offices, and many other public arenas can benefit from this tool that improves communication between the hearing and deaf world.","Open or scalable:  Social testing needs to be done in the real world, and it can't just be disabled users who know how to operate.
Can be used with Google, Android Apple and web, high compatibility.",Success : A lot of people around the world use it. The scale of the company has 2 to 10 people. ,"https://www.yumpu.com/en/document/read/10832595/icommunicatortm-leading-speech-to-text-to-sign-language
http://www.icommunicator.com/contactus.shtml
https://www.youtube.com/watch?v=YzpDmMmVwsE
http://www.icommunicator.com/productinfo/index.html 
https://www.linkedin.com/company/interactive-solutions-inc",,,,,,,,,,,,,,,
Kurzweil 3000 English,https://www.bridges-canada.com/,1997,for-profit,Americas,Canada,Canada,Ratified,Scarborough,"Victor Lajeunesse
Blind & Low Vision Specialist
Management",Bridges Inc.,Process,"Mobility, visual, hearing, cognitive",How to find the corresponding products efficiently and accurately?,Programme working with devices,Need to master the information of various AT,"Bridges is the only cross-Canada, full service, assistive technology company",Need to track the latest AT innovations.,Maturity: The company has a collection of products.,https://www.crunchbase.com/organization/bridges-canada,,,,,,,,,,,,,,,
Voice Dream Reader,https://www.voicedream.com/reader/,2012,for-profit,Americas,United States of America,Worldwide,Signatured,"Arlington, Massachusetts",Founder & CEO,Voice Dream LLC,Product,"Visual, Hearing and Cogonitive","Because of the need to meet the diverse requirements, this leads to the design of the system operation there are many complex functional operations.","Text-to-Speech features which allow you to listen to all the text, and the app in itself is highly customizable as well. Regarding the reading speed, fonts, and phonetics, voices, etc.", Customer emails started coming in to request new features that would make it even better.,"It can help dyslexic, blind and visually impaired people to effectively access information, and at the same time can choose their favorite personalized sounds to increase interest.","Open and scalable: The most important point is file format compatibility and limitations
There are 200+ Voices. 30 Languages can be used.","Success: The company has gained many users across the world, but the company size is not large.","https://www.ldrfa.org/
https://www.bookshep.com/enhanced-ebooks/voice-dream-reader-the-latest-text-to-speech-revolution-in-ebooks.html",,,,,,,,,,,,,,,
Victoria Hand Project,https://www.victoriahandproject.com/the-project,2015,Project,Americas,Canada,Americas,Ratified,"Victoria, British Columbi",Doctor and Professor of  University of Victoria,"TD Bank Group, Google, Grand Challenges Canada, AutoDesk Technology Impact Program, The University of Victoria, SolidWorks, NSERC, 
Ultimaker, BASF Forward AM, Form Futura, CanPay",Product,Mobility,"The use of 3D printed prosthetics requires personality customization and functional diversity design, which is costly.","By harnessing the power of 3D printing technology combined with traditional, tried-and-true methods familiar to local clinicians, our prosthetic arms are delivered to amputees in-need across the world.",Partner with prosthetists around the world to establish local print centers and provide low cost,"Providing arm access to health care for amputees is a major challenge for people in developing countries. By building international partnerships with healthcare providers, Hand Victoria can be accessible to those who need it most. Improve the capacity of clinics and clinicians by providing education and training in new high-tech tools and skills. But prosthetics need to be updated regularly because of changes in physical conditions.",Open and scalable: Working with schools andclinical partners in 10 countries around the world,Survival: The project has helped empower over 170 amputees and still needs fund.,https://www.canadahelps.org/en/charities/victoria-hand-project/,,,,,,,,,,,,,,,
EvoWalk,https://www.evolutiondevices.com/,2017,for-profit,Americas,United States of America,USA,Signatured,"Inglewood, CA",Three hackers,"ALCHEMIST ACCELERATOR, National Science Foundation?SkyDeck Berkeley",Product,Mobility,"Small areas of muscle control, high technical support required",Improve walking through functional electrical stimulation.,Invlove users in trials,"The revolutionary muscle stimulator uses cutting-edge machine learning and motion tracking technology to treat walking impairments and enable remote physical therapy, and is based on artificial intelligence to adapt to a variety of gaits and environments.","Open and scalable: Wear it at any time, monitor data at any time and provide remote diagnosis and treatment.
Easy to gain access to personalized therapy sessions from the comfort of your home ",Existence: EvoWalk Stim is currently in trials and only available for research and investigational use,"https://thiis.co.uk/innovation-five-futuristic-assistive-technology-devices-aiming-to-change-the-mobility-world/
https://www.evolutiondevices.com/",,,,,,,,,,,,,,,
Radius XR,https://radiusxr.com/,2022,for-profit,Americas,United States of America,USA,Signatured,"Pleasanton, California",IrisVision co-founder and CEO,"Caufield & Byers Stanford (Byers) Eye Institute, CareCentrix,  Walgreens",Product,Visual,It needs to be customized for each user. ,"The portable Visual Diagnostics and Patient Engagement system combines medical-grade diagnostics, business management, and patient education tools in a single wearable AR/VR device","Building on IrisVision's therapeutic legacy, and developed in collaboration with researchers from top ophthalmology centers at Johns Hopkins University, Stanford University, and UPMC Pittsburg","The entire hardware and software system helps medical professionals accurately diagnose patients, develop their eye care practices, increase patient engagement, and reduce employee workload by enabling patients to perform self-guided vision exams with minimal supervision.","
Open or scalable: immersive educational media library that can be tailored to each patient.",Existence: The start-up was founded 2 months ago.,https://www.businesswire.com/news/home/20220928005007/en/Radius-XR-a-new-fashion-forward-wearable-technology-brand-brings-together-multimodal-diagnostics-practice-management-and-patient-engagement-for-the-first-time,,,,,,,,,,,,,,,
the Brazilian Law for Inclusion of PWDs,http://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2015/Lei/L13146.htm,2015,policy,Americas,Brazil,Brazil ,Ratified,Brasilia,The Federative Republic of Brazil ,The Federative Republic of Brazil ,paradigm,"vision, hearing, mobility, cognitive",Citizens and businesses may not comply with the policy because it has not been in place long enough,"1. Citizens learn policies by themselves
Through the relevant policies government launched, and some related political events to learn deeper.
2. Policy promotion
Many policies are not known by the public, so citizens can learn the relevant policies through official government statements and promotional channels.","All sectors of society are involved in the implementation of the policy, such as citizens, politicians, company owners, etc.","From the policy, the community to help people with disabilities to achieve equality. As a result of the legislative mandates, the awareness and interest in all sectors of society for accessible technology that serves PWDs are high.","Open or scalable: : The policy has been covered throughout Brazil, and people from all stratum of Brazilian society are participating in its implementation",Success: The policy has been in place successfully for seven years and no changes are being made,https://www.loc.gov/item/global-legal-monitor/2015-06-17/brazil-senate-passes-new-law-regulating-inclusion-of-persons-with-disabilities/,,,,,,,,,,,,,,,
Navigator,https://www.verifone.com/en/us/press-release/introducing-verifone-navigator,1981,for-profit,Americas,United States of America,Brazil and North America,Signatured,"San Jose, California",President of Verifone Americas,"Francisco Partners
",product(Payment machine),visual,Still not immune to the problem of information leakage,"Navigator enables merchants to transform the non-tactile touchscreen into a universal keypad with audio confirmation, so visually-impaired consumers can enter a PIN or other numerical data to easily make purchases.","they work with David Clarke, Director of Services at RNIB
working with the leading, national blind associations to ensure an enhanced customer experience

Navigator is PCI PTS 5.x approved 

The Royal National Institute of Blind People (RNIB), one of the UK�s leading sight loss charities, certifies Verifone�s Navigator",It allows blind and low vision consumers to enter a PIN or other numerical data to easily make purchases. It strengthens their independence,"Open or scalable: It was founded by many partners together making it an open innovation.
","growth: Verifone Introduces the First PCI-Compliant Full Touchscreen Feature for the Blind and Visually Impaired
The Royal National Institute of Blind People (RNIB), one of the UK�s leading sight loss charities, certifies Verifone�s Navigator.
The company has more than 1,000 employees","https://academic-oup-com.libproxy.ucl.ac.uk/book/39019/chapter/338290472#338290544
https://www.youtube.com/watch?v=iWR7_C7K6C0
https://app.dealroom.co/investors/francisco_partners
https://www.crunchbase.com/organization/verifone",,,,,,,,,,,,,,,
The Federal Government Portal for PWDs,https://www.gov.br/mdh/pt-br/navegue-por-temas/pessoa-com-deficiencia,2019,policy(website),Americas,Brazil,Brazil ,Ratified,Brasilia,"Ministry of Women, Family & Human Rights Brazil",The Federative Republic of Brazil ,paradigm and product(website),"vision, hearing, mobility, cognitive","There will still be many people with disabilities who do not know how to use a computer or do not have opportunity access to a computer. So, they cannot access the website.","It includes a tool that translates the text into Brazilian Sign.

People with disabilities and their families can access the website to find the information and policies about them","Friendly relations between the disabled and the government

Current Country Technical Cooperation Agreements:
National Consumer Secretariat
General Secretariat of the Presidential Palace of the Republic
Paraiba State Public Department","It includes retirement guidance and other benefits for PWDs.  It also includes a tool that translates the text into Brazilian Sign Language.
It ensures that all essential public information, including disability-related information, is accessible to PWDs 
government action to eliminate all forms of discrimination against persons with disabilities and to promote their full inclusion in society.","Open or scalable:  The portal offers accessibility features, as provided for in the Brazilian Inclusion Law, and is compliant with Web Content Accessibility Guidelines and the Brazilian e-Government Accessibility Model.",Success: This is a nation and a number of organizations to promote the joint efforts of a website construction. this is a successful example.,https://www.gov.br/mdh/pt-br/navegue-por-temas/pessoa-com-deficiencia/acoes-e-programas/formacao-em-direitos-das-pessoas-com-deficiencia,,,,,,,,,,,,,,,
Signa edu,http://www.signaedu.com/index.html,"2016
",for-profit,Americas,Brazil,Brazil,Ratified,"Florian�polis, Santa Catarina, Brazil",the Co-founder and CEO at Signa Edu.," Start-Up Brasil and WOW Aceleradora

Non Equity Assistance from Startup Edmonton",product(Brazilian Sign Language courses ),hearing,"Even if a person with a disability has a certificate for this skill and learns this skill, the company may still not hire them because of their disability.",People who are deaf can acquire professional skills by purchasing and taking online courses,"Partners:
SEDA college
acatils
AGITE-RJ","It provides a comprehensive library of courses in Brazilian Sign Language. Similar to the portal for blind and low-vision persons, Signa covers several disciplines aimed at helping deaf and hard-of-hearing persons get education, gain employment and integrate into the world","Open or scalable:The company has 3 partners and a lot of support (CHOICE UP, START UP brasil, Aceleradora de Startups, etc.)","Success: Although it is only a startup, it has won 6 awards such as Premio Laureate Brasil Jovem Empreendedor Social, Mit Ide inclusive innovation challenge Reinvent the future work.  And the company has been promoted by 8 media outlets, and it has many supporters and partners","https://www.crunchbase.com/organization/signa-edu
http://www.signaedu.com/quem-somos.html",,,,,,,,,,,,,,,
Livox,https://livox.com.br/en/,2011,for-profit,Americas,Brazil,Worldwide,Ratified,"Pernambuco,�Pernambuco,�Brazil",CEO & Founder of Livox,Google,product(app),cognitive: persons with speech impairments and without functional writing to communicate ,People with this condition may be reluctant to communicate for reasons of their own (e.g. autism) even though they have this app to help them do so.,"The smart keyboard also automatically corrects mistakes and transcribes whatever the person says, and the program adapts itself to those who cannot read or write.
Livox customizes its use according to disability or learning level, with vision adjustment, such as high contrast and size of cards, specific for use as needed.
Livox corrects the imperfect touch! With the eyes is easier? Just blink that Livox works! Too many cards on one screen? Livox shows the cards according to time and place. In addition, Livox responds when you talk to a disabled person, powered by award-winning artificial intelligence worldwide.","The founder, Carlos Pereira, created this alternative communication platform to speak with his daughter, who has cerebral palsy and is unable to walk or talk.  

Clarinha was born with cerebral palsy due to a medical error, and so she cannot walk and communicate verbally. With great love Clara's parents have developed an app so she can communicate with them and express their feelings and wishes. Thus was born Livox.
","Livox is a card-based alternative communication software that enables non-verbal people with disabilities to communicate. Many non-verbal people with disabilities are illiterate, so, they rely on images to select what they want to say.
aids persons with speech impairments and without functional writing to communicate and develop abilities to express their needs and wishes. 
Thanks to Livox, thousands of people with various types of learning disabilities and learning disabilities have gained the power of speech.
The Livox provides a communication solution for people who have difficulty speaking. ","Open or scalable: Operating in 11 countries and available in more than 25 languages, Livox has a global acting team to provide support and inclusion around the world.","Success:  Livox has helped people with disabilities speak 23,035,705 words so far! And this small company has 15 employees","https://www.crunchbase.com/organization/livox
https://play.google.com/store/apps/details?id=br.com.livox&hl=en&pli=1
https://unreasonablegroup.com/ventures/livox",,,,,,,,,,,,,,,
Centro de Relevo,https://www.cancilleria.gov.co/centro-relevo,2001,project,Americas,Colombia,"Colombia, Paraguay,
Ecuador, Guatemala, and Mexico",Ratified,Bogot�,the Federacion Nacional de Sordos de Colombia (National Deaf Federation of Colombia),95% of the funds provided by the government through the Colombian Universal Service Fund,product(service),hearing,"It Provides them with free translation services for up to 15 minutes a day. 
The organization states that in order to operate this service successfully, it needs the backing of public finance in the country concerned, as well as a public policy that supports the implementation of such a project","The �Centro de Relevo� services are provided at no cost and currently include a call relay service, online interpretation services, and video messages via WhatsApp and PQRS (�Peticiones, quejas, reclamos, sugerencias��Petitions, complaints, claims, suggestions). The services allow deaf persons to find an interpreter�via a text message or the internet�who will provide them with free translation services over a fixed line or mobile phone within Colombia for a maximum of 15 minutes. The same interpreter can also provide a variety of other communication services, such as for medical appointments, work-related consultations, legal formalities, and other similar situations for a maximum of 30 minutes.","Federacion Nacional de Sordos de Colombia
Ministry of Information Technologies & Communications, Colombia

The project is a public�private partnership betweenthe Federacion Nacional de Sordos de Colombia (National Deaf Federation of Colombia) and the Ministry of Information Technologies and Communications, Colombia (MinTIC) in which the functions of the operator and the project leader are filled by deaf persons themselves","It close the communication gap between deaf and hearing persons across Colombia
Centro de Relevo (Relay Service), which enables telephone communication between deaf and hearing people by means of Colombian Sign Language interpreters, through mediated bidirectional communication
","Open or scalable: In 2013, the service was replicated in Paraguay, and at present FENASCOL provides consultancy services to Ecuador, Guatemala, and Mexico. 

The project is a public�private partnership between FENASCOL and the Ministry of Information Technologies and Communications, Colombia (MinTIC) in which the functions of the operator and the project leader are filled by deaf persons themselves","Growth:In 2013, the service was replicated in Paraguay, and at present FENASCOL provides consultancy services to Ecuador, Guatemala, and Mexico. �Centro de Relevo� received international recognition: It was awarded the Innovative Practice 2018 on Accessibility (with the name �Video-sign language service throughout the country�) by the Zero Project at the UN headquarters in Vienna. It was also named a finalist at the World Summit on the Information Society Prizes 2016 contest, among 88 champions ",https://academic.oup.com/book/39019/chapter/338290472?login=true,,,,,,,,,,,,,,,
MANUELA ESPEJOS- a Emergency GPS Localization Services for PWDs,https://www.vicepresidencia.gob.ec/brigadas-manuela-espejo-funcionaron-segun-lo-previsto-en-la-tarea-de-evacuar-a-las-personas-con-discpacidad-de-la-zona-costanera/,2009,government Service,Americas,Ecuador,Ecuador,Ratified, Quito ,Ecuador government,Ecuador government,paradigm,"vision, hearing, mobility, cognitive","When the tsunami comes, people with disabilities still need to be saved by others and cannot save themselves","One of the most innovative technological solutions implemented in Ecuador to locate PWDs, in the context of the �Inclusive DRM� policy, is georeferencing (Tripathi, 2013), which technically defines the location of an object in a three-dimensional physical space. Through the satellite location system, during emergencies, first responders are informed of needs and can act in real time to reach out to all those registered georeferentially.","In 2011, the government conducted, through the Operational Emergency Committee �Manuela Espejo,� a high-tech tsunami evacuation drill during an emergency warning alert. About 80 mobile vehicles were available to the brigades, as well as a team of 59 doctors, support, and military personnel, guided from a satellite control room based at the Vice Presidential Office in Quito, which worked to evacuate 603 PWDs in critical condition and safely re-locate them into shelters.
Furthermore, in December 2018, the Servicio Nacional de Gesti�n de Riesgos y Emergencias announced that a new geodemographic digital platform was put in place. 
At the local level, additional technological improvements were announced in March 2019, such as the installation of a new Cartographic Information Center of the Military Geographical Institute to integrate and georeference flooded areas, and those highly vulnerable to flooding, in the coastal parish of Manab�.
The use of advanced technology is complemented by a series of institutional, educational, and informational activities to strengthen communities which are carried out in the context of the Strategic Risk Management Plan 2019�2030, the National Response Plan to Disasters, contingency plans, and the recently launched new social intervention program, Plan Toda una Vida, overseen by Ecuador�s First Lady, which includes seven missions�among them the rebranded �Misi�n Las Manuelas,� conceived as a public policy aimed at PWDs.

Among relevant activities and tools are, at the local level, the creation of Community Committees, trained in prevention and self-protection measures, with the participation of PWDs and their caregivers; the release of a �Guide for the Protection of PWDs in Emergencies and Disasters�; and the launch of the Ecuador Listo y Solidario (Ecuador Ready and Caring) emergency response campaign via web and social networks","According to the United Nations Department of Economic and Social Affairs (UNDESA) (n.d.), �while different populations may face similar risks of exposure to the negative effects of environmental and man-made disasters, their actual vulnerability is dependent on their socioeconomic conditions, civic and social empowerment, and access to mitigation and relief resources.� Experience reveals that disasters affect PWDs much more than the general populations. PWDs are more likely to be left behind or abandoned during evacuations; to experience inaccessible facilities such as shelters and transportation services; and to be discriminated against when resources are scarce.

This policy allows people with disabilities to be located by the government and saved from de a d in the event of a natural disaster.",Open or scalable: the innovation was made through open collaborations between different stakeholders. And it is internationally recognized.,"Growth: As pointed out in Stein and Lazar�s introduction to this book, Ecuador could be considered an �example of the underexplored phenomena of developing States� which, because of the lack of resources, develop creative and cost-effective uses of ICT to include and enable PWDs, thus becoming a �source of significant innovation� 

Ecuador recently gained the country a place among the top-performing nations worldwide, upon presenting its experience at the Global Platform for Disaster Risk Reduction conference, organized by the UN Office for Disaster Risk Reduction in Geneva in May 2019.","https://www.gestionderiesgos.gob.ec/sngre-capacito-a-cuidadores-de-personas-con-discapacidad-sobre-gestion-inclusiva-del-riesgo/
https://www.gestionderiesgos.gob.ec/riesgos-incluye-a-personas-con-discapacidad/
https://academic.oup.com/book/39019/chapter/338290472?login=true#338290565",,,,,,,,,,,,,,,
